Entity,deathpercentageoutdoor
Barbados,99.65219655565805
"New Zealand",97.99998454313274
Kuwait,97.89092568446766
"Trinidad and Tobago",97.73266647088087
Qatar,97.54058022638068
Singapore,97.32503184491654
Russia,97.31761790689232
Iraq,97.17045749524966
Australasia,96.98294342806693
Turkmenistan,96.97981374360073
